class,Max_Ecio,Min_Ecio,Std_Ecio,Max_Rscp,Std_Rscp
no,-25.000000,-25.000000, 0.000000,-80.000000, 1.822692
no,-25.000000,-25.000000, 0.000000,-80.000000, 1.951911
yes,-25.000000,-25.000000, 0.000000,-78.000000, 2.001746
yes,-25.000000,-25.000000, 0.000000,-78.000000, 1.999651
no,-25.000000,-25.000000, 0.000000,-78.000000, 3.195325
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.711088
no,-25.000000,-25.000000, 0.000000,-81.000000, 1.970435
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.937881
no,-25.000000,-25.000000, 0.000000,-79.000000, 2.381074
yes,-25.000000,-25.000000, 0.000000,-79.000000, 2.171675
yes,-25.000000,-25.000000, 0.000000,-79.000000, 2.256987
yes,-25.000000,-25.000000, 0.000000,-80.000000, 2.294922
yes,-25.000000,-25.000000, 0.000000,-80.000000, 2.442034
no,-25.000000,-25.000000, 0.000000,-80.000000, 2.653955
no,-25.000000,-25.000000, 0.000000,-81.000000, 1.398412
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.294366
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.371201
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.338162
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.539042
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.680158
no,-25.000000,-25.000000, 0.000000,-81.000000, 1.881466
no,-25.000000,-25.000000, 0.000000,-81.000000, 1.639660
no,-25.000000,-25.000000, 0.000000,-81.000000, 1.760517
no,-25.000000,-25.000000, 0.000000,-79.000000, 1.834400
no,-25.000000,-25.000000, 0.000000,-79.000000, 2.140178
no,-25.000000,-25.000000, 0.000000,-79.000000, 2.280103
no,-25.000000,-25.000000, 0.000000,-81.000000, 2.102998
no,-25.000000,-25.000000, 0.000000,-83.000000, 1.654987
no,-25.000000,-25.000000, 0.000000,-83.000000, 1.729575
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.623244
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.742786
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.821588
no,-25.000000,-25.000000, 0.000000,-82.000000, 1.759791
no,-22.000000,-25.000000, 0.761387,-83.000000, 1.444003
no,-19.000000,-25.000000, 1.401951,-80.000000, 2.097832
no,-19.000000,-25.000000, 1.261041,-80.000000, 2.013271
no,-19.000000,-25.000000, 1.295254,-80.000000, 2.314960
no,-19.000000,-25.000000, 1.248029,-82.000000, 2.024596
no,-18.000000,-25.000000, 1.562130,-80.000000, 2.357393
no,-18.000000,-25.000000, 1.778765,-80.000000, 2.356629
no,-18.000000,-25.000000, 1.568751,-80.000000, 2.288877
no,-18.000000,-25.000000, 1.311335,-81.000000, 1.953482
no,-18.000000,-25.000000, 1.365433,-82.000000, 1.904193
no,-17.000000,-25.000000, 2.054773,-82.000000, 2.235807
no,-15.000000,-25.000000, 2.503466,-80.000000, 2.650583
no,-15.000000,-25.000000, 2.531685,-80.000000, 2.460188
no,-15.000000,-25.000000, 2.157680,-80.000000, 2.163118
yes,-23.000000,-25.000000, 0.589742,-82.000000, 1.954679
yes,-20.000000,-25.000000, 1.593052,-82.000000, 1.915439
yes,-18.000000,-25.000000, 2.128972,-81.000000, 2.312919
yes,-18.000000,-25.000000, 2.152239,-81.000000, 2.433500
no,-18.000000,-25.000000, 2.144576,-81.000000, 2.590581
no,-19.000000,-25.000000, 1.594330,-85.000000, 1.985015
no,-19.000000,-25.000000, 1.427812,-85.000000, 1.822564
no,-18.000000,-25.000000, 2.112684,-84.000000, 1.937589
no,-18.000000,-25.000000, 2.060839,-84.000000, 2.338426
no,-18.000000,-25.000000, 1.980425,-84.000000, 2.493317
no,-20.000000,-25.000000, 1.419847,-84.000000, 2.339166
no,-21.000000,-25.000000, 1.088300,-83.000000, 2.411464
yes,-21.000000,-25.000000, 0.817533,-83.000000, 2.115325
yes,-22.000000,-25.000000, 0.594936,-83.000000, 2.209898
no,-17.000000,-25.000000, 1.651845,-82.000000, 2.241093
no,-17.000000,-25.000000, 2.325632,-82.000000, 2.495860
